Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,45648,1533,4395,5928
Sumatera Utara,88348,3288,12363,15651
Sumatera Barat,46336,2266,6385,8651
Riau,44784,2976,8761,11737
Jambi,26370,1111,3568,4679
Sumatera Selatan,66728,2307,7922,10229
Bengkulu,14964,875,2420,3295
Lampung,66816,2920,9750,12670
Kepulauan Bangka Belitung,9458,573,1885,2458
Kepulauan Riau,12552,...,...,...
DKI Jakarta,57814,371,1152,1523
Jawa Barat,409699,24443,72647,97090
Jawa Tengah,312061,21332,61426,82758
DI Yogyakarta,24427,1529,4189,5718
Jawa Timur,339304,28053,66954,95007
Banten,92022,3193,11822,15015
Bali,3397,...,...,...
Nusa Tenggara Barat,42425,2273,6902,9175
Nusa Tenggara Timur,3633,181,333,514
Kalimantan Barat,26231,1038,4019,5057
Kalimantan Tengah,15516,899,2764,3663
Kalimantan Selatan,31983,1781,6117,7898
Kalimantan Timur,26080,2367,6535,8902
Kalimantan Utara,4041,...,...,...
Sulawesi Utara,7605,433,1443,1876
Sulawesi Tengah,20814,836,2835,3671
Sulawesi Selatan,69892,3564,12655,16219
Sulawesi Tenggara,19795,854,2628,3482
Gorontalo,10097,521,1868,2389
Sulawesi Barat,9759,...,...,...
Maluku,6569,194,453,647
Maluku Utara,6912,358,849,1207
Papua Barat,2435,...,...,...
Papua,4463,547,1346,1893
Indonesia,1968978,112616,326386,439002
,,,,
Catatan,,,,
<sup>1 </sup>Termasuk bedolan (nikah di luar KUA)/<i>Including registration conducted outside the Religious Affairs Office (KUA)</i><sup>2 </sup>Hanya untuk yang beragama Islam/<i>Applies only for moslem</i><ul><li>Provinsi Kepulauan Riau	,,,,
Data cerai masih bergabung dengan Provinsi Riau/<i>Data of divorces were included in Riau Province</i></li><li>Provinsi Bali	,,,,
Data cerai masih bergabung dengan Provinsi Nusa Tenggara Barat/<i>Data of divorces were included in Nusa Tenggara Barat Province</i></li><li>Provinsi Kalimantan Utara	,,,,
Data cerai masih bergabung dengan Provinsi Kalimantan Timur/<i>Data of divorces were included in Kalimantan Timur Province</i></li><li>Provinsi Sulawesi Barat	,,,,
Data cerai masih bergabung dengan Provinsi Sulawesi Selatan/<i>Data of divorces were included in Sulawesi Selatan Province</i></li></ul>,,,,
