nama_provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai,tahun,indeks_pembangunan_manusia,indeks_tpt,persentase_penduduk_miskin
Aceh,54399.0,1416,3714,5130,2018,71.19,6.34,15.97
Sumatera Utara,85989.0,3053,10714,13767,2018,71.18,5.55,9.22
Sumatera Barat,46053.0,2085,5412,7497,2018,71.73,5.66,6.65
Riau,45523.0,2945,7867,10812,2018,72.44,5.98,7.39
Jambi,28265.0,999,3184,4183,2018,70.65,3.73,7.92
Sumatera Selatan,65668.0,2037,6614,8651,2018,69.39,4.27,12.8
Bengkulu,15382.0,746,2106,2852,2018,70.64,3.35,15.43
Lampung,69435.0,2387,8134,10521,2018,69.02,4.04,13.14
Kepulauan Bangka Belitung,10118.0,574,1719,2293,2018,70.67,3.61,5.25
Kepulauan Riau,12348.0,...,...,...,2018,74.84,8.04,6.2
Dki Jakarta,58764.0,3666,10497,14163,2018,80.47,6.65,3.57
Jawa Barat,438384.0,22050,65257,87307,2018,71.3,8.23,7.45
Jawa Tengah,320677.0,20107,55450,75557,2018,71.12,4.47,11.32
Di Yogyakarta,24387.0,1591,4266,5857,2018,79.53,3.37,12.13
Jawa Timur,339797.0,26790,62165,88955,2018,70.77,3.91,10.98
Banten,95251.0,2995,10242,13237,2018,71.95,8.47,5.24
Bali,3410.0,...,...,...,2018,74.77,1.4,4.01
Nusa Tenggara Barat,43959.0,1781,5832,7613,2018,67.3,3.58,14.75
Nusa Tenggara Timur,3661.0,166,270,436,2018,64.39,2.85,21.35
Kalimantan Barat,25660.0,934,3580,4514,2018,66.98,4.18,7.77
Kalimantan Tengah,15902.0,726,2099,2825,2018,70.42,3.91,5.17
Kalimantan Selatan,30789.0,1598,5780,7378,2018,70.17,4.35,4.54
Kalimantan Timur,24979.0,1970,5779,7749,2018,75.83,6.41,6.03
Kalimantan Utara,3807.0,...,...,...,2018,70.56,5.11,7.09
Sulawesi Utara,8054.0,410,1196,1606,2018,72.2,6.61,7.8
Sulawesi Tengah,20517.0,809,2281,3090,2018,68.88,3.37,14.01
Sulawesi Selatan,65997.0,3152,11037,14189,2018,70.9,4.94,9.06
Sulawesi Tenggara,18517.0,698,2013,2711,2018,70.61,3.19,11.63
Gorontalo,10213.0,485,1472,1957,2018,67.71,3.7,16.81
Sulawesi Barat,9685.0,...,...,...,2018,65.1,3.01,11.25
Maluku,6698.0,137,375,512,2018,68.87,6.95,18.12
Maluku Utara,6830.0,393,733,1126,2018,67.76,4.63,6.64
Papua Barat,2569.0,...,...,...,2018,63.74,6.45,23.01
Papua,4484.0,509,1205,1714,2018,60.06,3.0,27.74
Aceh,45648.0,1533,4395,5928,2019,71.9,6.17,15.32
Sumatera Utara,88348.0,3288,12363,15651,2019,71.74,5.39,8.83
Sumatera Barat,46336.0,2266,6385,8651,2019,72.39,5.38,6.42
Riau,44784.0,2976,8761,11737,2019,73.0,5.76,7.08
Jambi,26370.0,1111,3568,4679,2019,71.26,4.06,7.6
Sumatera Selatan,66728.0,2307,7922,10229,2019,70.02,4.53,12.71
Bengkulu,14964.0,875,2420,3295,2019,71.21,3.26,15.23
Lampung,66816.0,2920,9750,12670,2019,69.57,4.03,12.62
Kepulauan Bangka Belitung,9458.0,573,1885,2458,2019,71.3,3.58,4.62
Kepulauan Riau,12552.0,...,...,...,2019,75.48,7.5,5.9
Dki Jakarta,57814.0,371,1152,1523,2019,80.76,6.54,3.47
Jawa Barat,409699.0,24443,72647,97090,2019,72.03,8.04,6.91
Jawa Tengah,312061.0,21332,61426,82758,2019,71.73,4.44,10.8
Di Yogyakarta,24427.0,1529,4189,5718,2019,79.99,3.18,11.7
Jawa Timur,339304.0,28053,66954,95007,2019,71.5,3.82,10.37
Banten,92022.0,3193,11822,15015,2019,72.44,8.11,5.09
Bali,3397.0,...,...,...,2019,75.38,1.57,3.79
Nusa Tenggara Barat,42425.0,2273,6902,9175,2019,68.14,3.28,14.56
Nusa Tenggara Timur,3633.0,181,333,514,2019,65.23,3.14,21.09
Kalimantan Barat,26231.0,1038,4019,5057,2019,67.65,4.35,7.49
Kalimantan Tengah,15516.0,899,2764,3663,2019,70.91,4.04,4.98
Kalimantan Selatan,31983.0,1781,6117,7898,2019,70.72,4.18,4.55
Kalimantan Timur,26080.0,2367,6535,8902,2019,76.61,5.94,5.94
Kalimantan Utara,4041.0,...,...,...,2019,71.15,4.49,6.63
Sulawesi Utara,7605.0,433,1443,1876,2019,72.99,6.01,7.66
Sulawesi Tengah,20814.0,836,2835,3671,2019,69.5,3.11,13.48
Sulawesi Selatan,69892.0,3564,12655,16219,2019,71.66,4.62,8.69
Sulawesi Tenggara,19795.0,854,2628,3482,2019,71.2,3.52,11.24
Gorontalo,10097.0,521,1868,2389,2019,68.49,3.76,15.52
Sulawesi Barat,9759.0,...,...,...,2019,65.73,2.98,11.02
Maluku,6569.0,194,453,647,2019,69.45,6.69,17.69
Maluku Utara,6912.0,358,849,1207,2019,68.7,4.81,6.77
Papua Barat,2435.0,...,...,...,2019,64.7,6.43,22.17
Papua,4463.0,547,1346,1893,2019,60.84,3.51,27.53
Aceh,42298.0,1093,3078,4171,2020,71.99,6.59,14.99
Sumatera Utara,78892.0,2661,10148,12809,2020,71.77,6.91,8.75
Sumatera Barat,43136.0,1458,3833,5291,2020,72.38,6.88,6.28
Riau,44791.0,1637,4615,6252,2020,72.71,6.32,6.82
Jambi,24993.0,947,2936,3883,2020,71.29,5.13,7.58
Sumatera Selatan,58749.0,1535,4867,6402,2020,70.01,5.51,12.66
Bengkulu,14358.0,808,2296,3104,2020,71.4,4.07,15.03
Lampung,58423.0,2469,8758,11227,2020,69.69,4.67,12.34
Kepulauan Bangka Belitung,8806.0,510,1491,2001,2020,71.47,5.25,4.53
Kepulauan Riau,12437.0,...,...,...,2020,75.59,10.34,5.92
Dki Jakarta,50776.0,3038,9060,12098,2020,80.77,10.95,4.53
Jawa Barat,372723.0,10826,26677,37503,2020,72.09,10.46,7.88
Jawa Tengah,271452.0,16808,48947,65755,2020,71.87,6.48,11.41
Di Yogyakarta,26030.0,1344,3944,5288,2020,79.97,4.57,12.28
Jawa Timur,316103.0,18581,43289,61870,2020,71.71,5.84,11.09
Banten,79252.0,2302,8099,10401,2020,72.45,10.64,5.92
Bali,3115.0,...,...,...,2020,75.5,5.63,3.78
Nusa Tenggara Barat,34657.0,1275,3580,4855,2020,68.25,4.22,13.97
Nusa Tenggara Timur,3533.0,155,296,451,2020,65.19,4.28,20.9
Kalimantan Barat,23025.0,846,3403,4249,2020,67.66,5.81,7.17
Kalimantan Tengah,13941.0,405,1190,1595,2020,71.05,4.58,4.82
Kalimantan Selatan,27401.0,824,2586,3410,2020,70.91,4.74,4.38
Kalimantan Timur,25030.0,1775,5237,7012,2020,76.24,6.87,6.1
Kalimantan Utara,4782.0,...,...,...,2020,70.63,4.97,6.8
Sulawesi Utara,7369.0,341,957,1298,2020,72.93,7.37,7.62
Sulawesi Tengah,18236.0,425,1185,1610,2020,69.55,3.77,12.92
Sulawesi Selatan,61904.0,2991,9706,12697,2020,71.93,6.31,8.72
Sulawesi Tenggara,16058.0,699,2069,2768,2020,71.45,4.58,11.0
Gorontalo,10139.0,318,1134,1452,2020,68.68,4.28,15.22
Sulawesi Barat,8366.0,...,...,...,2020,66.11,3.32,10.87
Maluku,6571.0,71,154,225,2020,69.49,7.57,17.44
Maluku Utara,6981.0,136,340,476,2020,68.49,5.15,6.78
Papua Barat,1984.0,...,...,...,2020,65.09,6.8,21.37
Papua,4035.0,429,1095,1524,2020,60.44,4.28,26.64
Aceh,40931.0,1469,4973,6442,2021,72.18,6.3,15.33
Sumatera Utara,84202.0,3553,13717,17270,2021,72.0,6.33,9.01
Sumatera Barat,45073.0,2372,6999,9371,2021,72.65,6.52,6.63
Riau,45046.0,3198,9524,12722,2021,72.94,4.42,7.12
Jambi,25837.0,1147,3853,5000,2021,71.63,5.09,8.09
Sumatera Selatan,59987.0,2473,8719,11192,2021,70.24,4.98,12.84
Bengkulu,15064.0,912,2933,3845,2021,71.64,3.65,15.22
Lampung,59587.0,3119,11914,15033,2021,69.9,4.69,12.62
Kepulauan Bangka Belitung,8711.0,577,1900,2477,2021,71.69,5.03,4.9
